# x_m, y_m
# Centreline of 'icra26', traced from icra26.yaml
# by scripts/track_tool.py centerline. Lap length 78.49 m.
# This is the middle of the track, NOT a racing line: a starting
# point to shift towards the apexes and add a speed profile to.
1.3486, 0.0924
1.5482, 0.1090
1.7478, 0.1257
1.9475, 0.1400
2.1478, 0.1400
2.3481, 0.1413
2.5482, 0.1509
2.7483, 0.1604
2.9484, 0.1699
3.1485, 0.1795
3.3486, 0.1890
3.5489, 0.1900
3.7492, 0.1900
3.9495, 0.1900
4.1498, 0.1900
4.3501, 0.1914
4.5502, 0.2010
4.7495, 0.2204
4.9440, 0.2670
5.1285, 0.3445
5.3009, 0.4463
5.4633, 0.5635
5.6157, 0.6933
5.7577, 0.8343
5.8841, 0.9897
5.9940, 1.1570
6.0828, 1.3364
6.1431, 1.5272
6.1693, 1.7255
6.1700, 1.9258
6.1642, 2.1259
6.1251, 2.3220
6.0538, 2.5090
5.9570, 2.6841
5.8405, 2.8470
5.7093, 2.9983
5.5638, 3.1358
5.4074, 3.2609
5.2392, 3.3695
5.0588, 3.4562
4.8674, 3.5143
4.6687, 3.5377
4.4684, 3.5400
4.2681, 3.5400
4.0678, 3.5400
3.8675, 3.5400
3.6673, 3.5351
3.4672, 3.5256
3.2671, 3.5161
3.0670, 3.5065
2.8675, 3.4898
2.6679, 3.4732
2.4678, 3.4637
2.2677, 3.4542
2.0676, 3.4446
1.8674, 3.4400
1.6673, 3.4327
1.4672, 3.4232
1.2671, 3.4137
1.0670, 3.4041
0.8669, 3.3946
0.6667, 3.3900
0.4664, 3.3900
0.2661, 3.3900
0.0658, 3.3900
-0.1345, 3.3900
-0.3348, 3.3900
-0.5352, 3.3900
-0.7355, 3.3900
-0.9357, 3.3950
-1.1357, 3.4048
-1.3329, 3.4385
-1.5215, 3.5054
-1.6984, 3.5990
-1.8631, 3.7128
-2.0194, 3.8381
-2.1653, 3.9753
-2.3043, 4.1194
-2.4319, 4.2737
-2.5440, 4.4396
-2.6348, 4.6180
-2.6985, 4.8076
-2.7284, 5.0054
-2.7300, 5.2057
-2.7300, 5.4060
-2.7300, 5.6063
-2.7292, 5.8066
-2.7027, 6.0048
-2.6419, 6.1955
-2.5530, 6.3748
-2.4428, 6.5419
-2.3164, 6.6972
-2.1780, 6.8420
-2.0364, 6.9836
-1.8918, 7.1222
-1.7368, 7.2491
-1.5701, 7.3599
-1.3911, 7.4495
-1.2008, 7.5112
-1.0028, 7.5389
