# x_m, y_m
# Centreline of 'icra26_compete', traced from icra26_compete.yaml
# by scripts/track_tool.py centerline. Lap length 54.43 m.
# This is the middle of the track, NOT a racing line: a starting
# point to shift towards the apexes and add a speed profile to.
0.7186, 3.7414
0.7434, 3.5428
0.7682, 3.3441
0.7900, 3.1453
0.7900, 2.9451
0.7900, 2.7449
0.7900, 2.5447
0.7900, 2.3445
0.7900, 2.1443
0.7912, 1.9442
0.8008, 1.7442
0.8103, 1.5443
0.8198, 1.3443
0.8293, 1.1443
0.8388, 0.9444
0.8400, 0.7442
0.8400, 0.5440
0.8400, 0.3438
0.8400, 0.1436
0.8400, -0.0566
0.8387, -0.2567
0.8292, -0.4567
0.8197, -0.6567
0.8102, -0.8566
0.8006, -1.0566
0.7911, -1.2565
0.7900, -1.4567
0.7816, -1.6567
0.7721, -1.8567
0.7589, -2.0564
0.7399, -2.2557
0.7128, -2.4540
0.6902, -2.6528
0.6678, -2.8517
0.6405, -3.0500
0.6206, -3.2492
0.5978, -3.4480
0.5757, -3.6470
0.5481, -3.8452
0.5291, -4.0445
0.5101, -4.2438
0.4989, -4.4436
0.4900, -4.6436
0.4893, -4.8438
0.4798, -5.0438
0.4703, -5.2437
0.4608, -5.4437
0.4459, -5.6433
0.4269, -5.8426
0.4156, -6.0424
0.4061, -6.2424
0.3936, -6.4421
0.3775, -6.6416
0.3627, -6.8412
0.3438, -7.0405
0.3196, -7.2392
0.2917, -7.4374
0.2677, -7.6361
0.2371, -7.8339
0.2088, -8.0321
0.1781, -8.2298
0.1476, -8.4277
0.1078, -8.6238
0.0681, -8.8200
0.0244, -9.0153
-0.0299, -9.2080
-0.0858, -9.4002
-0.1561, -9.5875
-0.2452, -9.7666
-0.3503, -9.9369
-0.4679, -10.0988
-0.6048, -10.2445
-0.7638, -10.3657
-0.9387, -10.4627
-1.1254, -10.5344
-1.3213, -10.5739
-1.5212, -10.5766
-1.7181, -10.5420
-1.9063, -10.4744
-2.0827, -10.3802
-2.2471, -10.2661
-2.3998, -10.1368
-2.5422, -9.9962
